identifier,stage,error
JEDCOK03,missing_smiles,No SMILES available
JEMROJ,missing_smiles,No SMILES available
JEMROJ01,missing_smiles,No SMILES available
JEMROJ02,missing_smiles,No SMILES available
JEMROJ03,missing_smiles,No SMILES available
JESCAP,missing_smiles,No SMILES available
JEYPOT,smiles_parse,RDKit could not parse SMILES
JIFJIV,missing_smiles,No SMILES available
JILRUU,smiles_parse,RDKit could not parse SMILES
JIWQAI02,smiles_parse,RDKit could not parse SMILES
JOTJUB,smiles_parse,RDKit could not parse SMILES
JOTKAI,smiles_parse,RDKit could not parse SMILES
JUBYEO,smiles_parse,RDKit could not parse SMILES
KAFXAV,smiles_parse,RDKit could not parse SMILES
KAYVUB,smiles_parse,RDKit could not parse SMILES
KEBHIM,smiles_parse,RDKit could not parse SMILES
KERKAX,smiles_parse,RDKit could not parse SMILES
KESVIP,smiles_parse,RDKit could not parse SMILES
KESVOV,smiles_parse,RDKit could not parse SMILES
KETFUO,missing_smiles,No SMILES available
KEWCAU,smiles_parse,RDKit could not parse SMILES
KINHOG,smiles_parse,RDKit could not parse SMILES
KOVFIO,smiles_parse,RDKit could not parse SMILES
LAHBAB,smiles_parse,RDKit could not parse SMILES
LAHBAB01,smiles_parse,RDKit could not parse SMILES
LAJLIT,missing_smiles,No SMILES available
LAYGOL05,smiles_parse,RDKit could not parse SMILES
LAYGOL06,smiles_parse,RDKit could not parse SMILES
LEXPIO,missing_smiles,No SMILES available
LIQFUN01,smiles_parse,RDKit could not parse SMILES
LIQQEH,smiles_parse,RDKit could not parse SMILES
LITWAN,missing_smiles,No SMILES available
LITZIY,missing_smiles,No SMILES available
LIVBAU,smiles_parse,RDKit could not parse SMILES
LOCYUB,smiles_parse,RDKit could not parse SMILES
LOCZAI,smiles_parse,RDKit could not parse SMILES
LOCZEM,smiles_parse,RDKit could not parse SMILES
MEJVAY,smiles_parse,RDKit could not parse SMILES
MEPZAJ,smiles_parse,RDKit could not parse SMILES
MIPVEM,missing_smiles,No SMILES available
MIPXOC,smiles_parse,RDKit could not parse SMILES
MOCWAC,smiles_parse,RDKit could not parse SMILES
MOHCOC,missing_smiles,No SMILES available
MOQNUB,missing_smiles,No SMILES available
NECYUR,missing_smiles,No SMILES available
NOKGAY,smiles_parse,RDKit could not parse SMILES
NUDMIK,missing_smiles,No SMILES available
NUDVIS,missing_smiles,No SMILES available
NUKXOH,missing_smiles,No SMILES available
OBEGUX,missing_smiles,No SMILES available
OGEFUB,smiles_parse,RDKit could not parse SMILES
OKUKAJ01,smiles_parse,RDKit could not parse SMILES
OMUZUU,smiles_parse,RDKit could not parse SMILES
ORUNIA,smiles_parse,RDKit could not parse SMILES
PEJRAX,smiles_parse,RDKit could not parse SMILES
PELLEB,smiles_parse,RDKit could not parse SMILES
PEZSUJ,missing_smiles,No SMILES available
PEZSUJ01,missing_smiles,No SMILES available
PINCUK,missing_smiles,No SMILES available
PIPYEW,smiles_parse,RDKit could not parse SMILES
PIZDUX,smiles_parse,RDKit could not parse SMILES
POVLIX,smiles_parse,RDKit could not parse SMILES
PUPKAN,missing_smiles,No SMILES available
QODGUM02,smiles_parse,RDKit could not parse SMILES
QODGUM03,smiles_parse,RDKit could not parse SMILES
QODGUM04,smiles_parse,RDKit could not parse SMILES
QODGUM06,smiles_parse,RDKit could not parse SMILES
QOWVIH,missing_smiles,No SMILES available
QOWWOO,smiles_parse,RDKit could not parse SMILES
QOWXOP,smiles_parse,RDKit could not parse SMILES
QUPQOK,smiles_parse,RDKit could not parse SMILES
QUQRUQ,missing_smiles,No SMILES available
QUQSEB,missing_smiles,No SMILES available
QUQSIF,smiles_parse,RDKit could not parse SMILES
QUQSOL,missing_smiles,No SMILES available
RAQMIH,missing_smiles,No SMILES available
RAQMON,smiles_parse,RDKit could not parse SMILES
RAYZEZ05,smiles_parse,RDKit could not parse SMILES
REPKON,missing_smiles,No SMILES available
RIDRUV01,smiles_parse,RDKit could not parse SMILES
RIGGAQ,smiles_parse,RDKit could not parse SMILES
RIMGUP,smiles_parse,RDKit could not parse SMILES
ROHVOC,smiles_parse,RDKit could not parse SMILES
ROXVAE,smiles_parse,RDKit could not parse SMILES
ROZLAW,missing_smiles,No SMILES available
ROZLAW01,missing_smiles,No SMILES available
RUCFIF,missing_smiles,No SMILES available
RUWBAM,smiles_parse,RDKit could not parse SMILES
SAHFAN01,smiles_parse,RDKit could not parse SMILES
SARYEQ,smiles_parse,RDKit could not parse SMILES
SAVVOE,smiles_parse,RDKit could not parse SMILES
SEHSOR,smiles_parse,RDKit could not parse SMILES
SEQBAR,missing_smiles,No SMILES available
SESKEI,smiles_parse,RDKit could not parse SMILES
SEWXEY,missing_smiles,No SMILES available
SILNOR,smiles_parse,RDKit could not parse SMILES
SOMGIK01,missing_smiles,No SMILES available
SOMGIK02,missing_smiles,No SMILES available
SOMGIK03,missing_smiles,No SMILES available
SOMGIK04,missing_smiles,No SMILES available
SOQVAZ,smiles_parse,RDKit could not parse SMILES
TAFXEG,smiles_parse,RDKit could not parse SMILES
TAGHIU,smiles_parse,RDKit could not parse SMILES
TEZYUT,missing_smiles,No SMILES available
TIGBUG,smiles_parse,RDKit could not parse SMILES
TUQBOY,smiles_parse,RDKit could not parse SMILES
TUQQAX,missing_smiles,No SMILES available
TUQQEB,missing_smiles,No SMILES available
TUSHEV,smiles_parse,RDKit could not parse SMILES
TUTLUS,smiles_parse,RDKit could not parse SMILES
UDIDUH,missing_smiles,No SMILES available
UGUFAD,missing_smiles,No SMILES available
UJEJAW,smiles_parse,RDKit could not parse SMILES
ULOSOG,smiles_parse,RDKit could not parse SMILES
UNARUW,missing_smiles,No SMILES available
VABFEJ,missing_smiles,No SMILES available
VAFLAP,smiles_parse,RDKit could not parse SMILES
VAYYUP,smiles_parse,RDKit could not parse SMILES
VEHLON,smiles_parse,RDKit could not parse SMILES
VUKBAF,smiles_parse,RDKit could not parse SMILES
VUPQEG,smiles_parse,RDKit could not parse SMILES
VUVGOM,missing_smiles,No SMILES available
VUXQOY,smiles_parse,RDKit could not parse SMILES
WAFTAZ,smiles_parse,RDKit could not parse SMILES
WEFBUH,missing_smiles,No SMILES available
WEJVAM,smiles_parse,RDKit could not parse SMILES
WEJVUG,smiles_parse,RDKit could not parse SMILES
WEWSAW,smiles_parse,RDKit could not parse SMILES
WIJPIR,smiles_parse,RDKit could not parse SMILES
WOPLOG,smiles_parse,RDKit could not parse SMILES
WUSWAM,smiles_parse,RDKit could not parse SMILES
XAGYUC,smiles_parse,RDKit could not parse SMILES
XAQSIT,missing_smiles,No SMILES available
XAQWER,missing_smiles,No SMILES available
XAXBEF,missing_smiles,No SMILES available
XAXBEF01,missing_smiles,No SMILES available
XAXBEF02,missing_smiles,No SMILES available
XAXBEF03,missing_smiles,No SMILES available
XAXBEF04,missing_smiles,No SMILES available
XAXBEF05,missing_smiles,No SMILES available
XAXBEF06,missing_smiles,No SMILES available
XAXBEF07,missing_smiles,No SMILES available
XAXBEF08,missing_smiles,No SMILES available
XAXBEF09,missing_smiles,No SMILES available
XAXBEF10,missing_smiles,No SMILES available
