refcode,component_refcode,component_index,smiles,HBD,HBA,logP,MW
ABEDUJ,ABEDUJ_1,1,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,1,8,5.190380000000005,529.164745148
ABEHOF,ABEHOF_1,1,O=N(=O)c1cc(c([O-])c(c1)N(=O)=O)N(=O)=O,0,7,0.4847999999999996,227.98982298391002
ABEHOF,ABEHOF_2,2,[NH3+]C(C(C)C)C(O)=O,2,1,-0.6625000000000001,118.08625504409
ABEKUN,ABEKUN_1,1,Oc1cccc(O)c1,2,2,1.0977999999999999,110.036779432
ABEKUN,ABEKUN_2,2,c1cc(ccn1)C=Cc1ccncc1,0,2,2.6470000000000002,182.08439832
ABEKUN01,ABEKUN01_1,1,Oc1cccc(O)c1,2,2,1.0977999999999999,110.036779432
ABEKUN01,ABEKUN01_2,2,c1cc(ccn1)C=Cc1ccncc1,0,2,2.6470000000000002,182.08439832
ABEKUN02,ABEKUN02_1,1,c1cc(ccn1)C=Cc1ccncc1,0,2,2.6470000000000002,182.08439832
ABEKUN02,ABEKUN02_2,2,Oc1cccc(O)c1,2,2,1.0977999999999999,110.036779432
ABEKUN03,ABEKUN03_1,1,Oc1cccc(O)c1,2,2,1.0977999999999999,110.036779432
ABEKUN03,ABEKUN03_2,2,c1cc(ccn1)C=Cc1ccncc1,0,2,2.6470000000000002,182.08439832
ABEKUN04,ABEKUN04_1,1,Oc1cccc(O)c1,2,2,1.0977999999999999,110.036779432
ABEKUN04,ABEKUN04_2,2,c1cc(ccn1)C=Cc1ccncc1,0,2,2.6470000000000002,182.08439832
ABEKUN05,ABEKUN05_1,1,Oc1cccc(O)c1,2,2,1.0977999999999999,110.036779432
ABEKUN05,ABEKUN05_2,2,c1cc(ccn1)C=Cc1ccncc1,0,2,2.6470000000000002,182.08439832
ABEKUN06,ABEKUN06_1,1,Oc1cccc(O)c1,2,2,1.0977999999999999,110.036779432
