identifier,smiles,HBD,HBA,logP,MW
ABISUD,CN1N=C2C=C(C=CC2=C1C)N(C)c1cc[nH+]c(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,2,7,2.55814,438.17067042809003
ABITAK,CCOC(=O)c1cc(O)c(O)c(O)c1,3,5,0.9800999999999997,198.05282342
ABITEO,COc1ccc2nccc(C(O)C3CC4CC[NH+]3CC4C=C)c2c1,2,3,1.7560999999999996,325.19105446009
ABOQUF,NC(=O)N1c2ccccc2C=Cc2ccccc12,1,1,3.3872000000000018,236.094963004
ABORAM,NC(=O)CN1CCCC1=O,1,2,-0.9059000000000004,142.07422756
ABULEQ,OC(=O)c1cc2ccccc2cc1O,2,2,2.2436000000000003,188.047344116
ABULEQ02,OC(=O)c1cc2ccccc2cc1O,2,2,2.2436000000000003,188.047344116
ABULIU,Nc1ccc(cc1)C(O)=O,2,2,0.9670000000000001,137.047678464
ACABUD,Oc1ccc(F)cc1C(=O)[O-],1,3,-0.10520000000000013,155.01499578791
ACACAK,Oc1ccc(I)cc1C(=O)[O-],1,3,0.3602999999999999,262.92106556791
ACACEO,Oc1ccc(I)cc1C(=O)[O-],1,3,0.3602999999999999,262.92106556791
ACACIS,COc1ccc(O)c(c1)C(=O)[O-],1,4,-0.23570000000000008,167.03498228391
ACACOY,Cc1ccc(O)c(c1)C(=O)[O-],1,3,0.06411999999999979,151.04006766391
ACACUE,Oc1ccc(cc1C(=O)[O-])N(=O)=O,1,5,-0.33610000000000007,182.00949580791
ACCHOB11,CC(=O)OCC[N+](C)(C)C,0,2,0.25570000000000004,146.11755517209
ACCYGB10,NC1=NC2=C(N=CN2C2OC(COP(=O)([O-])OC3C(O)C(OC3CO)N3C=C(I)C(=NC3=O)N)C(O)C2O)C(=O)N1,7,19,-4.114499999999995,713.02232638591
ACEBAP,CCCC[N+](CCCC)(CCCC)CCCC,0,0,5.003600000000005,242.28422657209
ACEQOQ,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACEQUW,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACERAD,COC(=O)N1C=NC(=C1N)C(N)=O,2,6,-0.8212999999999997,184.059640116
ACEREH,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACEREJ,OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1,6,7,1.2516999999999994,306.073952788
ACERIL,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACEROR,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACERUX,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACESAE,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACESEI,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACESIL,Oc1ccc(O)cc1,2,2,1.0977999999999999,110.036779432
ACESIM,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACESOS,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACESUY,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACETAF,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACETAF01,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACETEJ,CN1N=NC2=C(N=CN2C1=O)C(N)=O,1,7,-2.078099999999999,194.055223432
ACHOLC,CC(=O)OCC[N+](C)(C)C,0,2,0.25570000000000004,146.11755517209
ACHOLC01,CC(=O)OCC[N+](C)(C)C,0,2,0.25570000000000004,146.11755517209
ACHOLP,CC(=O)OCC[N+](C)(C)C,0,2,0.25570000000000004,146.11755517209
ACHRES,CC(=O)OCC[N+](C)(C)C,0,2,0.25570000000000004,146.11755517209
ACHTAR10,CC(=O)OCC[N+](C)(C)C,0,2,0.25570000000000004,146.11755517209
ACHTPB,c1ccc(cc1)[B-](c1ccccc1)(c1ccccc1)c1ccccc1,0,0,3.064000000000002,319.16635461991
ACIBAT,C[N+](C)(C)C,0,0,0.3224,74.09642580408999
ACIFAT,[NH3+]c1ccc(cc1)S(N)(=O)=O,2,2,-0.7926000000000002,173.03792494809
ACOPOA,OC(=O)c1cc(O)cc(O)c1,3,3,0.7959999999999998,154.026608672
ACOPUG,COc1cc(C=CC(O)=O)ccc1O,2,3,1.4986,194.0579088
ACOQAN,Cc1ccc(cc1)S(=O)(=O)[O-],0,3,0.89912,171.01213866391
ACOYOG,C(Cc1ccncc1)c1ccncc1,0,2,2.2618,184.100048384
ACOYOG01,C(Cc1ccncc1)c1ccncc1,0,2,2.2618,184.100048384
ACPRET,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC12C,1,6,2.560600000000001,402.20423868
ACPRET03,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC12C,1,6,2.560600000000001,402.20423868
ACRMSA,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2[nH+]c2ccccc12,2,4,3.9308000000000023,394.12198892009
ACSALA,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA01,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA02,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA03,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA04,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA05,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA06,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA07,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA08,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA09,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA10,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA11,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
ACSALA12,CC(=O)Oc1ccccc1C(O)=O,1,3,1.3101,180.042258736
