identifier,logp_crippen,mol_weight,hb_donors,hb_acceptors,smiles
LATJAT,2.0793999999999997,274.095356928,2,4,OC(=O)CCC(O)=O.c1ccc(nc1)c1ccccn1
LATJEX,3.1922000000000006,324.0997736119999,2,3,O=C1C(=C1c1ccccc1)c1ccccc1.OC(=O)CCC(O)=O
LATKEY,1.1429999999999998,295.116820644,3,5,CC(C)=NNC(=O)c1ccncc1.OC(=O)CCC(O)=O
LATKIC,1.5331000000000001,309.13247070799997,3,5,CCC(C)=NNC(=O)c1ccncc1.OC(=O)CCC(O)=O
LATKUO,0.7754999999999992,275.090605896,4,5,NNC(=O)c1ccncc1.OC(=O)c1ccccc1O
LATLAV,2.2976000000000005,315.121906024,3,5,CC(C)=NNC(=O)c1ccncc1.OC(=O)c1ccccc1O
LATLEY,2.1119999999999997,356.14845511999994,2,6,C(N1C=CN=C1)c1ccc(CN2C=CN=C2)cc1.OC(=O)CCC(O)=O
LATMEA,0.7003999999999997,232.084792244,2,3,CCC1(C(=O)NC(=O)NC1=O)c1ccccc1
LATQEE,2.977120000000001,398.1590198039999,3,6,Cc1ccnc2N(C3CC3)c3ncccc3C(=O)Nc12.OC(=O)CCCC(O)=O
LATQII,2.3630199999999997,382.1277196759999,3,6,Cc1ccnc2N(C3CC3)c3ncccc3C(=O)Nc12.OC(=O)C=CC(O)=O
LATSUW,-3.853399999999999,252.06259399991,2,6,NNC(=O)c1cc[nH+]cc1.O=C([O-])C=CC(=O)[O-]
LATTAD,-0.6031000000000004,253.069870452,4,5,NNC(=O)c1ccncc1.OC(=O)C=CC(O)=O
LATTAD01,-0.6030999999999986,253.069870452,4,5,OC(=O)C=CC(O)=O.NNC(=O)c1ccncc1
LATTAD02,-0.6030999999999986,253.069870452,4,5,OC(=O)C=CC(O)=O.NNC(=O)c1ccncc1
LATTIL,-0.7127000000000001,239.054220388,3,5,NC(=O)c1cnccn1.OC(=O)C=CC(O)=O
LATTOR,-0.4887000000000004,241.069870452,3,5,NC(=O)c1cnccn1.OC(=O)CCC(O)=O
