identifier,logp_crippen,mol_weight,hb_donors,hb_acceptors,smiles
PEDHUE,-0.9132599999999957,399.262087904,4,6,Cc1ccc(C)c(OCCCC(C)(C)C(=O)[O-])c1.OCC[NH+](CCO)CCO
PEDLAP,-4.6023,213.071117996,5,5,OB1OB(O)O[B-](F)(F)O1.NC(N)=[NH2+]
PEDLET,-6.186,294.1213569760001,7,4,OB1O[B-](F)(F)O[B-](F)(F)O1.NC(N)=[NH2+].NC(N)=[NH2+]
PEDMUK,9.764499999999996,1044.3515371720002,3,17,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1.COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1.COc1cc(C=O)ccc1O
PEDWOM,15.092699999999974,1206.1048623240004,3,12,FC(F)Oc1ccc(cc1OCC1CC1)C(=O)Nc1c(Cl)cncc1Cl.FC(F)Oc1ccc(cc1OCC1CC1)C(=O)Nc1c(Cl)cncc1Cl.FC(F)Oc1ccc(cc1OCC1CC1)C(=O)Nc1c(Cl)cncc1Cl
PEDWOM01,5.030900000000003,402.034954108,1,4,FC(F)Oc1ccc(cc1OCC1CC1)C(=O)Nc1c(Cl)cncc1Cl
PEDWOM02,15.092699999999974,1206.1048623240004,3,12,FC(F)Oc1ccc(cc1OCC1CC1)C(=O)Nc1c(Cl)cncc1Cl.FC(F)Oc1ccc(cc1OCC1CC1)C(=O)Nc1c(Cl)cncc1Cl.FC(F)Oc1ccc(cc1OCC1CC1)C(=O)Nc1c(Cl)cncc1Cl
PEDWOM03,15.092699999999974,1206.1048623240004,3,12,FC(F)Oc1ccc(cc1OCC1CC1)C(=O)Nc1c(Cl)cncc1Cl.FC(F)Oc1ccc(cc1OCC1CC1)C(=O)Nc1c(Cl)cncc1Cl.FC(F)Oc1ccc(cc1OCC1CC1)C(=O)Nc1c(Cl)cncc1Cl
PEFVII,-6.792200000000004,574.2737747839999,10,12,OCC[NH+](CCO)CCO.OCC[NH+](CCO)CCO.Oc1ccccc1C(=O)[O-].Oc1ccccc1C(=O)[O-]
PEFXOP,0.7983,553.0414668319099,2,9,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-].[NH3+]c1ccc(cc1)S(=O)(=O)c1ccc(N)cc1.O
PEFZEH,0.7375000000000007,840.0104203558201,2,14,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-].O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-].[NH3+]c1ccc(cc1)S(=O)(=O)c1ccc([NH3+])cc1.O
PEFZIL,1.4599000000000004,514.1322336759999,2,7,OC(=O)C1=CN(C2CC2)c2cc(N3CC[NH2+]CC3)c(F)cc2C1=O.O=C1[N-]S(=O)(=O)c2ccccc12
PEFZIL01,1.4599000000000004,514.1322336759999,2,7,OC(=O)C1=CN(C2CC2)c2cc(N3CC[NH2+]CC3)c(F)cc2C1=O.O=C1[N-]S(=O)(=O)c2ccccc12
PEGCIR,3.0294000000000008,383.997090276,2,3,CC(=O)Nc1ccc(I)cn1.OC(=O)c1ccccc1
PEGDAK,3.419500000000001,398.01274034,2,3,CCC(=O)Nc1ccc(I)cn1.OC(=O)c1ccccc1
PEGDEO,3.5774000000000017,350.02660444,2,3,CCC(=O)Nc1ccc(Br)cn1.OC(=O)c1ccccc1
PEGDIS,3.8096000000000014,412.028390404,2,3,CCCC(=O)Nc1ccc(I)cn1.OC(=O)c1ccccc1
PEHFUF,1.1751000000000003,301.10625596000006,4,5,OC(=O)C=Cc1ccc(O)cc1.NNC(=O)c1ccncc1
PEHFUF01,1.1751000000000003,301.10625596000006,4,5,OC(=O)C=Cc1ccc(O)cc1.NNC(=O)c1ccncc1
PEHGIT,5.221500000000006,356.23514488399996,2,3,COC(C(C=C)C(C)C(O)C(C)C)c1ccccc1.Oc1ccccc1
PEHYOR,9.509260000000005,936.6690491439999,8,8,CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C.CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C.Cc1cccc(C)c1C
PEHYUX,9.854239999999995,956.614426728,8,8,Cc1cccc(Cl)c1C.CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C.CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
